Model,Rotation,Condition,Split,Episode,Accuracy
Llama2,Rule-like,Blocked,test,episode_49,1.0
Llama2,Rule-like,Blocked,test,episode_22,1.0
Llama2,Rule-like,Blocked,test,episode_38,1.0
Llama2,Rule-like,Blocked,test,episode_21,0.75
Llama2,Rule-like,Blocked,test,episode_19,1.0
Llama2,Rule-like,Blocked,test,episode_5,1.0
Llama2,Rule-like,Blocked,test,episode_28,1.0
Llama2,Rule-like,Blocked,test,episode_83,1.0
Llama2,Rule-like,Blocked,test,episode_81,1.0
Llama2,Rule-like,Blocked,test,episode_24,1.0
Llama2,Rule-like,Interleaved,test,episode_48,0.875
Llama2,Rule-like,Interleaved,test,episode_86,0.625
Llama2,Rule-like,Interleaved,test,episode_31,1.0
Llama2,Rule-like,Interleaved,test,episode_3,0.8125
Llama2,Rule-like,Interleaved,test,episode_19,0.625
Llama2,Rule-like,Interleaved,test,episode_72,0.9375
Llama2,Rule-like,Interleaved,test,episode_90,0.6875
Llama2,Rule-like,Interleaved,test,episode_91,1.0
Llama2,Rule-like,Interleaved,test,episode_24,0.375
Llama2,Rule-like,Interleaved,test,episode_56,0.75
Llama2,Rule-like,Interleaved,test,episode_53,0.875
Llama2,Rule-like,Interleaved,test,episode_61,1.0
Llama2,Rule-like,Interleaved,test,episode_60,0.4375
Llama2,Rule-like,Interleaved,test,episode_27,1.0
Llama2,Rule-like,Interleaved,test,episode_59,1.0
Llama2,Rule-like,Interleaved,test,episode_89,0.875
Llama2,Rule-like,Interleaved,test,episode_44,1.0
Llama2,Rule-like,Interleaved,test,episode_67,0.5
Llama2,Rule-like,Interleaved,test,episode_54,0.75
Llama2,Rule-like,Interleaved,test,episode_20,0.75
Llama2,Rule-like,Interleaved,test,episode_42,0.9375
Llama2,Rule-like,Interleaved,test,episode_47,0.8125
Llama2,Rule-like,Interleaved,test,episode_58,0.8125
Llama2,Rule-like,Interleaved,test,episode_68,0.9375
Llama2,Rule-like,Interleaved,test,episode_34,0.6875
Llama2,Rule-like,Interleaved,test,episode_15,0.8125
Llama2,Rule-like,Interleaved,test,episode_96,1.0
Llama2,Rule-like,Interleaved,test,episode_51,0.9375
Llama2,Rule-like,Interleaved,test,episode_9,0.5625
Llama2,Rule-like,Interleaved,test,episode_66,0.875
Llama2,Rule-like,Interleaved,test,episode_16,1.0
Llama2,Rule-like,Interleaved,test,episode_10,1.0
Llama2,Rule-like,Interleaved,test,episode_36,1.0
Llama2,Rule-like,Interleaved,test,episode_22,0.9375
Llama2,Rule-like,Interleaved,test,episode_45,0.75
Llama2,Rule-like,Interleaved,test,episode_50,0.9375
Llama2,Rotated,Aligned,test,episode_87,0.0
Llama2,Rotated,Aligned,test,episode_43,0.0625
Llama2,Rotated,Aligned,test,episode_34,0.0625
Llama2,Rotated,Aligned,test,episode_25,0.0625
Llama2,Rotated,Aligned,test,episode_37,0.0625
Llama2,Rotated,Aligned,test,episode_84,0.0
Llama2,Rotated,Aligned,test,episode_93,0.1875
Llama2,Rotated,Aligned,test,episode_29,0.0625
Llama2,Rotated,Aligned,test,episode_0,0.0625
Llama2,Rotated,Aligned,test,episode_15,0.0
Llama2,Rotated,Aligned,test,episode_86,0.0
Llama2,Rotated,Aligned,test,episode_90,0.0625
Llama2,Rotated,Aligned,test,episode_54,0.0
Llama2,Rotated,Aligned,test,episode_75,0.0625
Llama2,Rotated,Aligned,test,episode_42,0.0625
Llama2,Rotated,Aligned,test,episode_56,0.0625
Llama2,Rotated,Aligned,test,episode_3,0.0
Llama2,Rotated,Aligned,test,episode_77,0.0625
Llama2,Rotated,Aligned,test,episode_35,0.0
Llama2,Rotated,Aligned,test,episode_14,0.125
Llama2,Rotated,Aligned,test,episode_48,0.0625
Llama2,Rotated,Aligned,test,episode_47,0.0625
Llama2,Rotated,Aligned,test,episode_12,0.0
Llama2,Rotated,Aligned,test,episode_40,0.0625
Llama2,Rotated,Aligned,test,episode_78,0.0
Llama2,Rotated,Misaligned,test,episode_87,0.0
Llama2,Rotated,Misaligned,test,episode_43,0.125
Llama2,Rotated,Misaligned,test,episode_34,0.0
Llama2,Rotated,Misaligned,test,episode_25,0.0
Llama2,Rotated,Misaligned,test,episode_37,0.0625
Llama2,Rotated,Misaligned,test,episode_84,0.0
Llama2,Rotated,Misaligned,test,episode_93,0.0
Llama2,Rotated,Misaligned,test,episode_29,0.0
Llama2,Rotated,Misaligned,test,episode_0,0.0
Llama2,Rotated,Misaligned,test,episode_15,0.0625
Llama2,Rotated,Misaligned,test,episode_86,0.0
Llama2,Rotated,Misaligned,test,episode_90,0.0
Llama2,Rotated,Misaligned,test,episode_54,0.0
Llama2,Rotated,Misaligned,test,episode_75,0.0625
Llama2,Rotated,Misaligned,test,episode_42,0.0
Llama2,Rotated,Misaligned,test,episode_56,0.0
Llama2,Rotated,Misaligned,test,episode_3,0.0
Llama2,Rotated,Misaligned,test,episode_77,0.0
Llama2,Rotated,Misaligned,test,episode_35,0.0
Llama2,Rotated,Misaligned,test,episode_14,0.125
Llama2,Rotated,Misaligned,test,episode_48,0.0
Llama2,Rotated,Misaligned,test,episode_47,0.0
Llama2,Rotated,Misaligned,test,episode_12,0.0
Llama2,Rotated,Misaligned,test,episode_40,0.0
Llama2,Rotated,Misaligned,test,episode_78,0.0
Llama2,Rotated,Blocked,test,episode_52,0.3125
Llama2,Rotated,Blocked,test,episode_8,0.0625
Llama2,Rotated,Blocked,test,episode_78,0.1875
Llama2,Rotated,Blocked,test,episode_71,0.3125
Llama2,Rotated,Blocked,test,episode_79,0.5
Llama2,Rotated,Blocked,test,episode_97,0.125
Llama2,Rotated,Blocked,test,episode_20,0.375
Llama2,Rotated,Blocked,test,episode_76,0.1875
Llama2,Rotated,Blocked,test,episode_30,0.25
Llama2,Rotated,Blocked,test,episode_69,0.375
Llama2,Rotated,Blocked,test,episode_48,0.125
Llama2,Rotated,Blocked,test,episode_1,0.3125
Llama2,Rotated,Blocked,test,episode_40,0.125
Llama2,Rotated,Blocked,test,episode_91,0.125
Llama2,Rotated,Blocked,test,episode_17,0.5625
Llama2,Rotated,Blocked,test,episode_56,0.4375
Llama2,Rotated,Blocked,test,episode_87,0.0625
Llama2,Rotated,Blocked,test,episode_2,0.375
Llama2,Rotated,Blocked,test,episode_61,0.1875
Llama2,Rotated,Blocked,test,episode_14,0.3125
Llama2,Rotated,Blocked,test,episode_84,0.1875
Llama2,Rotated,Blocked,test,episode_89,0.375
Llama2,Rotated,Blocked,test,episode_66,0.3125
Llama2,Rotated,Blocked,test,episode_68,0.0625
Llama2,Rotated,Blocked,test,episode_32,0.25
Llama2,Rotated,Blocked,test,episode_57,0.0625
Llama2,Rotated,Blocked,test,episode_70,0.125
Llama2,Rotated,Blocked,test,episode_74,0.1875
Llama2,Rotated,Blocked,test,episode_15,0.3125
Llama2,Rotated,Blocked,test,episode_46,0.25
Llama2,Rotated,Blocked,test,episode_49,0.0
Llama2,Rotated,Blocked,test,episode_22,0.125
Llama2,Rotated,Blocked,test,episode_38,0.0
Llama2,Rotated,Blocked,test,episode_21,0.4375
Llama2,Rotated,Blocked,test,episode_19,0.1875
Llama2,Rotated,Blocked,test,episode_5,0.3125
Llama2,Rotated,Blocked,test,episode_28,0.0625
Llama2,Rotated,Blocked,test,episode_83,0.3125
Llama2,Rotated,Blocked,test,episode_81,0.25
Llama2,Rotated,Blocked,test,episode_24,0.3125
Llama2,Rotated,Interleaved,test,episode_48,0.25
Llama2,Rotated,Interleaved,test,episode_86,0.125
Llama2,Rotated,Interleaved,test,episode_31,0.125
Llama2,Rotated,Interleaved,test,episode_3,0.1875
Llama2,Rotated,Interleaved,test,episode_19,0.4375
Llama2,Rotated,Interleaved,test,episode_72,0.125
Llama2,Rotated,Interleaved,test,episode_90,0.375
Llama2,Rotated,Interleaved,test,episode_91,0.4375
Llama2,Rotated,Interleaved,test,episode_24,0.1875
Llama2,Rotated,Interleaved,test,episode_56,0.4375
Llama2,Rotated,Interleaved,test,episode_53,0.0625
Llama2,Rotated,Interleaved,test,episode_61,0.1875
Llama2,Rotated,Interleaved,test,episode_60,0.0625
Llama2,Rotated,Interleaved,test,episode_27,0.375
Llama2,Rotated,Interleaved,test,episode_59,0.125
Llama2,Rotated,Interleaved,test,episode_89,0.375
Llama2,Rotated,Interleaved,test,episode_44,0.1875
Llama2,Rotated,Interleaved,test,episode_67,0.3125
Llama2,Rotated,Interleaved,test,episode_54,0.125
Llama2,Rotated,Interleaved,test,episode_20,0.1875
Llama2,Rotated,Interleaved,test,episode_42,0.1875
Llama2,Rotated,Interleaved,test,episode_47,0.3125
Llama2,Rotated,Interleaved,test,episode_58,0.625
Llama2,Rotated,Interleaved,test,episode_68,0.375
Llama2,Rotated,Interleaved,test,episode_34,0.125
Llama2,Rotated,Interleaved,test,episode_15,0.125
Llama2,Rotated,Interleaved,test,episode_96,0.125
Llama2,Rotated,Interleaved,test,episode_51,0.3125
Llama2,Rotated,Interleaved,test,episode_9,0.25
Llama2,Rotated,Interleaved,test,episode_66,0.3125
Llama2,Rotated,Interleaved,test,episode_16,0.1875
Llama2,Rotated,Interleaved,test,episode_10,0.1875
Llama2,Rotated,Interleaved,test,episode_36,0.1875
Llama2,Rotated,Interleaved,test,episode_22,0.3125
Llama2,Rotated,Interleaved,test,episode_45,0.3125
Llama2,Rotated,Interleaved,test,episode_50,0.1875
